Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Products/TC-Product-Sort-004,Edge Chromium 116,User ingin mengurutkan produk berdasarkan price (high to low),,2023-08-31 12:41:06,2023-08-31 12:41:20,13.665s,PASSED
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:41:06,2023-08-31 12:41:18,12.054s,PASSED
"selectOptionByValue(findTestObject(""Products/dropdown_menu""), ""hilo"", false)",Edge Chromium 116,,,2023-08-31 12:41:18,2023-08-31 12:41:19,0.737s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Products/list_price""), 10)",Edge Chromium 116,,,2023-08-31 12:41:19,2023-08-31 12:41:19,0.494s,PASSED
arrLastNameOri = [],Edge Chromium 116,,,2023-08-31 12:41:19,2023-08-31 12:41:19,0.001s,PASSED
arrLastNameSort = [],Edge Chromium 116,,,2023-08-31 12:41:19,2023-08-31 12:41:19,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 116,,,2023-08-31 12:41:19,2023-08-31 12:41:20,0.076s,PASSED
println(arrLastNameSort),Edge Chromium 116,,,2023-08-31 12:41:20,2023-08-31 12:41:20,0.000s,PASSED
println(arrLastNameOri),Edge Chromium 116,,,2023-08-31 12:41:20,2023-08-31 12:41:20,0.001s,PASSED
"Arrays.sort(arrLastNameSort, Collections.reverseOrder())",Edge Chromium 116,,,2023-08-31 12:41:20,2023-08-31 12:41:20,0.000s,PASSED
assert arrLastNameOri == arrLastNameSort,Edge Chromium 116,,,2023-08-31 12:41:20,2023-08-31 12:41:20,0.001s,PASSED
,,,,,,,
Test Cases/Detail Product/TC-DetailProduct-AddCart-001,Edge Chromium 116,"Test case ketika user ingin menambahkan product ke keranjang
",,2023-08-31 12:41:20,2023-08-31 12:41:35,15.907s,PASSED
"callTestCase(findTestCase(""Detail Product/TC-DetailProduct-Show-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:41:20,2023-08-31 12:41:34,14.452s,PASSED
"click(findTestObject(""Detail Product/button_add_to_chart_from_pdp""))",Edge Chromium 116,,,2023-08-31 12:41:34,2023-08-31 12:41:35,0.361s,PASSED
"verifyElementNotPresent(findTestObject(""Detail Product/button_add_to_chart_from_pdp""), 3)",Edge Chromium 116,,,2023-08-31 12:41:35,2023-08-31 12:41:35,0.444s,PASSED
"notif = getText(findTestObject(""Products/cart_notif""))",Edge Chromium 116,,,2023-08-31 12:41:35,2023-08-31 12:41:35,0.372s,PASSED
println(notif),Edge Chromium 116,,,2023-08-31 12:41:35,2023-08-31 12:41:35,0.000s,PASSED
"verifyMatch(""1"", notif, false)",Edge Chromium 116,,,2023-08-31 12:41:35,2023-08-31 12:41:35,0.002s,PASSED
,,,,,,,
Test Cases/Detail Product/TC-DetailProduct-Nav-001,Edge Chromium 116,User ingin kembali ke halaman produk,,2023-08-31 12:41:35,2023-08-31 12:41:52,16.621s,PASSED
"callTestCase(findTestCase(""Detail Product/TC-DetailProduct-Show-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:41:36,2023-08-31 12:41:51,15.350s,PASSED
"click(findTestObject(""Detail Product/button_back_to_products""))",Edge Chromium 116,,,2023-08-31 12:41:51,2023-08-31 12:41:52,0.434s,PASSED
"verifyElementVisible(findTestObject(""Products/title_product""))",Edge Chromium 116,,,2023-08-31 12:41:52,2023-08-31 12:41:52,0.532s,PASSED
,,,,,,,
Test Cases/Detail Product/TC-DetailProduct-Remove-001,Edge Chromium 116,User ingin menambahkan 2 product ke dalam keranjang,,2023-08-31 12:41:52,2023-08-31 12:42:11,18.668s,PASSED
"callTestCase(findTestCase(""Detail Product/TC-DetailProduct-AddCart-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:41:52,2023-08-31 12:42:10,17.550s,PASSED
"click(findTestObject(""Detail Product/button_remove_from_pdp""))",Edge Chromium 116,,,2023-08-31 12:42:10,2023-08-31 12:42:10,0.380s,PASSED
"verifyElementNotPresent(findTestObject(""Detail Product/button_remove_from_pdp""), 0)",Edge Chromium 116,,,2023-08-31 12:42:10,2023-08-31 12:42:11,0.474s,PASSED
,,,,,,,
Test Cases/Detail Product/TC-DetailProduct-Show-001,Edge Chromium 116,User ingin menampilkan Detail Products,,2023-08-31 12:42:11,2023-08-31 12:42:24,12.773s,PASSED
